nom,type,region,province,latitude,longitude,population
Centre,region,Centre,,12.37874,-1.53276,3030384
Hauts-Bassins,region,Hauts-Bassins,,11.28,-4.32,2238375
Est,region,Est,,12.06308,0.36349,1941505
Boucle du Mouhoun,region,Boucle du Mouhoun,,12.47203,-3.47305,1898133
Centre-Nord,region,Centre-Nord,,13.09829,-1.0855,1872126
Nord,region,Nord,,13.58809,-2.4212,1720908
Centre-Ouest,region,Centre-Ouest,,12.25488,-2.36876,1659339
Centre-Est,region,Centre-Est,,11.78922,-0.35706,1578075
Sahel,region,Sahel,,14.03351,-0.04575,1094907
Plateau-Central,region,Plateau-Central,,12.58774,-1.30102,977510
Sud-Ouest,region,Sud-Ouest,,10.5,-3.2,874030
Cascades,region,Cascades,,10.38,-4.5,812062
Centre-Sud,region,Centre-Sud,,11.67132,-1.07374,788341
Province du Houet,province,Hauts-Bassins,Province du Houet,11.36404,-4.27233,1509377
Kadiogo Province,province,Centre,Kadiogo Province,12.33333,-1.5,1365958
Sandbondtenga,province,Centre-Nord,Sandbondtenga,13.27297,-1.02973,885642
Province du Yatenga,province,Nord,Province du Yatenga,13.60836,-2.39343,824994
Province du Boulgou,province,Centre-Est,Province du Boulgou,11.52806,-0.41266,736559
Province du Boulkiemdé,province,Centre-Ouest,Province du Boulkiemdé,12.34167,-2.21877,689184
Gnagna Province,province,Est,Gnagna Province,12.9188,0.0392,675897
Province de la Comoé,province,Cascades,Province de la Comoé,10.32824,-4.50213,632695
Province du Gobnangou,province,Est,Province du Gobnangou,11.858,1.76553,605110
Province du Namentenga,province,Centre-Nord,Province du Namentenga,13.26276,-0.51276,512529
Province du Ganzourgou,province,Plateau-Central,Province du Ganzourgou,12.2871,-0.7837,481794
Kouritenga Province,province,Centre-Est,Kouritenga Province,12.2,-0.3,479930
Province du Bam,province,Centre-Nord,Province du Bam,13.48198,-1.58844,473955
Province du Passoré,province,Nord,Province du Passoré,12.91667,-2.16667,457781
Province du Gourma,province,Est,Province du Gourma,12.13874,0.66947,437242
Province du Séno,province,Sahel,Province du Séno,13.964,0.012,404104
Province du Kénédougou,province,Hauts-Bassins,Province du Kénédougou,11.44179,-4.99162,399836
Province du Sanguié,province,Centre-Ouest,Province du Sanguié,12.23961,-2.65833,391520
Province du Mouhoun,province,Boucle du Mouhoun,Province du Mouhoun,12.22331,-3.4567,391325
Province du Djelgodji,province,Sahel,Province du Djelgodji,14.21658,-1.50887,363633
Province du Koulpelogo,province,Centre-Est,Province du Koulpelogo,11.45275,0.18471,361586
Province du Poni,province,Sud-Ouest,Province du Poni,10.33262,-3.41667,355665
Province de la Koosin,province,Boucle du Mouhoun,Province de la Koosin,12.96384,-3.8805,355655
Province des Banwa,province,Boucle du Mouhoun,Province des Banwa,12.23873,-4.20136,345749
Province de la Sissili,province,Centre-Ouest,Province de la Sissili,11.291,-2.33792,336972
Province du Tuy,province,Hauts-Bassins,Province du Tuy,11.439,-3.46413,329162
Province du Bassitenga,province,Plateau-Central,Province du Bassitenga,12.6854,-1.33333,314514
Zoundweogo Province,province,Centre-Sud,Zoundweogo Province,11.58333,-1,311940
