appliquer,id_source,nom_source,id_canonique,nom_canonique,similarite
,504,Centre hospitalier régional de Fada N’Gourma,450,Centre hospitalier régional de Fada N'Gourma (CHR/Fada N'Gourma),0.94
,561,Institut supérieur des sciences de la santé,133,Institut supérieur des sciences de la santé (INSSA),0.93
,506,Centre hospitalier régional de Koudougou,451,Centre hospitalier régional de Koudougou (CHR-Koudougou),0.93
,483,Centre hospitalier régional (CHR) de Manga,276,Centre hospitalier régional de Manga,0.93
,238,Université Norbert ZONGO,191,Université Norbert ZONGO (UNZ),0.93
,96,Fonds d’appui au sport et à la presse privée (FASP) « Wassa Bondo »,79,Fonds d’appui au sport et à la presse privée « Wassa Bondo »,0.93
,496,Institut des sciences des sociétés,118,Institut des sciences des sociétés (INSS),0.93
,493,Centre hospitalier universitaire de Bogodogo,478,Centre hospitalier universitaire (CHU) de Bogodogo,0.93
,347,Ministère de la Santé et Ministère de l’Action humanitaire et de la solidarité nationale,196,Ministère de l'Action humanitaire et de la solidarité nationale,0.93
,179,Institut national de formation en travail social,25,Institut national de formation en travail social (INFTS),0.92
,454,Centre hospitalier universitaire Sourô SANOU (CHU-SS),188,Centre hospitalier universitaire Sourô SANOU (CHUSS),0.92
,462,Salon international de l’artisanat de Ouagadougou (SIAO),168,Salon international de l’artisanat de Ouagadougou,0.92
,460,Agence nationale de promotion des technologies de l’information et de la communication (ANPTIC),70,Agence nationale de promotion des technologies de l’information et de la communication,0.92
,489,Groupement d’intérêt public-Programme national de volontariat au Burkina Faso (GIP-PNVB),39,Groupement d’intérêt public/Programme national de volontariat du Burkina Faso (GIP-PNV),0.91
,568,Unité de formation et de recherche en sciences humaines,126,Unité de formation et de recherche en Sciences humaines (UFR/SH),0.91
,158,Caisse nationale d’assurance maladie universelle (CNAMU),76,Caisse nationale d’assurance maladie universelle,0.91
,446,Secrétariat permanent de la Filière coton libéralisée (SP-FCL),182,Secrétariat permanent de la filière coton libéralisée,0.91
,690,Office de santé des travailleurs (OST),102,Office de santé des travailleurs,0.91
,372,Institut supérieur d'études de protection civile (ISEPC),48,Institut supérieur d’études de protection civile,0.91
,116,Institut de l’environnement et de recherches agricoles (INERA),114,Institut de l’environnement et de recherche agricole (INERA),0.91
,567,Institut du développement rural,134,Institut du développement rural (IDR),0.91
,563,Unité de formation et de recherche en sciences exactes et appliquées,128,Unité de formation et de recherche en Sciences exactes et appliquées (UFR/SEA),0.91
,526,Chambre de commerce et d’industrie du Burkina Faso,292,Chambre de commerce et d’industrie du Burkina Faso (CCI-BF),0.91
,153,Agence nationale de biosécurité (ANB),85,Agence nationale de biosécurité,0.91
,157,Conseil burkinabè des chargeurs (CBC),149,Conseil burkinabè des chargeurs,0.91
,453,Centre hospitalier universitaire pédiatrique Charles de GAULLE (CHUP-CDG),283,Centre hospitalier universitaire pédiatrique Charles de Gaulle,0.91
,499,Centre hospitalier universitaire Yalgado OUEDRAOGO,54,Centre hospitalier universitaire Yalgado OUEDRAOGO (CHU-YO),0.91
,172,Université Nazi BONI,57,Université Nazi BONI (UNB),0.91
,236,Université Daniel Ouezzin COULIBALY,192,Université Daniel OUEZZIN COULIBALY (UDOC),0.90
,609,Agence nationale de gestion et de recouvrement des avoirs saisis ou confisqués (ANAGRASC),516,Agence nationale de gestion et de recouvrement des avoirs saisis ou confisqués,0.90
,626,Conseil national du patronat burkinabè,465,Conseil national du patronat burkinabè (CNPB),0.90
,629,Tribunal de Grande instance Ouaga II,380,Tribunal de grande instance de Ouaga I et Ouaga II,0.90
,223,Direction générale de la police nationale,175,Direction générale de la police nationale (DGPN),0.90
,240,Université Yembila Abdoulaye TOGUYENI,58,Université Yembila Abdoulaye TOGUYENI (UYAT),0.90
,662,Université virtuelle du Burkina Faso,235,Université virtuelle du Burkina Faso (UV-BF),0.90
,659,École nationale de la garde de sécurité pénitentiaire,18,École nationale des Gardes de sécurité pénitentiaire,0.90
,438,Université Thomas SANKARA (UTS),237,Université Thomas SANKARA,0.90
,459,Agence nationale du domaine foncier des organismes publics (ANDFOP),407,Agence nationale du domaine foncier des organismes publics,0.90
,565,Unité de formation et de recherche en sciences de la vie et de la terre,127,Unité de formation et de recherche en Sciences de la vie et de la terre (UFR/SVT),0.90
,566,"Unité de formation et de recherche en sciences humaines, lettres, arts et médias",135,"Unité de formation et de recherche en Sciences humaines, Lettres, arts et médias (UFR/SH-LAM)",0.90
,569,"Unité de formation et de recherche en lettres, arts et communication",125,"Unité de formation et de recherche en Lettres, arts et communication (UFR/LAC)",0.90
,148,Agence burkinabè pour l’emploi (ABPE),17,Agence burkinabè pour l’emploi,0.89
,139,Institut du développement dural (IDR),134,Institut du développement rural (IDR),0.89
,571,Unité de formation et de recherche en sciences de la santé,129,Unité de formation et de recherche en Sciences de la santé (UFR/SDS),0.89
,454,Centre hospitalier universitaire Sourô SANOU (CHU-SS),83,Centre hospitalier universitaire Sourô SANOU,0.89
,329,École nationale de police (ENP),82,École nationale de police,0.89
,558,École nationale de formation agricole de Matourkou,89,École nationale de formation agricole de Matourkou (ENAFA),0.89
,554,Agence de l’eau du Gourma (AEG),494,Agence de l’eau du Gourma,0.89
,297,Centre hospitalier universitaire régional de Ouahigouya,287,Centre hospitalier universitaire régional de Ouahigouya (CHUR-OHG),0.89
,188,Centre hospitalier universitaire Sourô SANOU (CHUSS),83,Centre hospitalier universitaire Sourô SANOU,0.89
,507,Centre hospitalier régional de Dori,290,Centre hospitalier régional de Dori (CHR-DR),0.88
,505,Centre hospitalier régional de Tenkodogo,289,Centre hospitalier régional de Tenkodogo (CHR-TNK),0.87
,509,Centre hospitalier régional de Banfora,288,Centre hospitalier régional de Banfora (CHR-BFR),0.87
,193,Université Joseph KI-ZERBO (UJKZ),185,Université Joseph KI-ZERBO,0.87
,155,Conseil de régulation de l’Autorité de régulation de la commande publique (ARCOP),1,Autorité de régulation de la commande publique (ARCOP),0.87
,689,Fonds national de solidarité et de la résilience sociale,266,Fonds national de solidarité et de résilience sociale (FNS-RS),0.86
,100,Institut Deen Kanu,53,Institut DEEN KANU (IDK),0.86
,403,Bureau national des sols (BUNASOLS),101,Bureau national des sols,0.86
,212,"Ministère de l'Enseignement supérieur, de la Recherche scientifique et de l'Innovation",15,"Ministère de l’Enseignement supérieur, de la Recherche et de l’Innovation",0.85
,652,Direction provinciale de la police nationale du Poni,650,Direction provinciale de la police nationale du Nayala,0.85
,508,Centre hospitalier régional de Dédougou,506,Centre hospitalier régional de Koudougou,0.84
,702,Université Joseph KI-ZERBO (ISSP),185,Université Joseph KI-ZERBO,0.84
,654,Direction provinciale de la police nationale du Séno,652,Direction provinciale de la police nationale du Poni,0.84
,652,Direction provinciale de la police nationale du Poni,645,Direction provinciale de la police nationale du Ioba,0.84
,126,Unité de formation et de recherche en Sciences humaines (UFR/SH),121,Unité de formation et de recherche en Lettres et sciences humaines (UFR/LSH),0.84
,656,Direction provinciale de la police nationale du Yatenga,653,Direction provinciale de la police nationale du Sanmatenga,0.84
,556,Institut supérieur de protection civile,48,Institut supérieur d’études de protection civile,0.83
,650,Direction provinciale de la police nationale du Nayala,645,Direction provinciale de la police nationale du Ioba,0.82
,701,Université Joseph KI-ZERBO (IFOAD),185,Université Joseph KI-ZERBO,0.82
,652,Direction provinciale de la police nationale du Poni,644,Direction provinciale de la police nationale du Houet,0.82
